Design,Cost,Utility to Science,Failed Downtime,Servicing Margin
436,5.88E+10,1.29E+06,0.21988,33667
437,4.05E+10,1.75E+07,0.22651,2.17E+05
438,2.10E+10,56717,0.22347,9.90E+05
439,5.84E+10,2.58E+05,0.21565,36858
440,3.91E+10,1.99E+06,0.2069,2.42E+05
441,1.77E+10,53450,0.25197,1.40E+06
442,6.33E+10,2.57E+07,0.21587,0
443,5.51E+10,41389,0.23029,69470
444,5.02E+10,1.34E+07,0.21188,1.25E+05
445,2.41E+10,1.58E+07,0.18904,9.88E+05
446,5.43E+10,2.14E+06,0.24231,77902
447,4.98E+10,40191,0.23433,1.30E+05
448,2.49E+10,3.32E+06,0.26652,9.40E+05
449,3.62E+10,8.30E+08,0.61654,0
450,3.20E+10,1.38E+09,0.5676,66330
451,3.06E+10,1.49E+09,0.54053,96289
452,1.91E+10,8.32E+08,0.61349,5.92E+05
453,2.90E+10,1.02E+09,0.57154,1.29E+05
454,2.76E+10,9.00E+08,0.5538,1.69E+05
455,1.28E+10,1.04E+09,0.5862,1.62E+06
456,3.62E+10,4.90E+08,0.4687,0
457,2.97E+10,2.89E+08,0.53793,1.12E+05
458,2.77E+10,4.59E+08,0.45894,1.63E+05
459,1.54E+10,5.93E+08,0.47375,1.00E+06
460,2.88E+10,4.11E+08,0.47875,1.34E+05
461,2.75E+10,2.80E+08,0.50058,1.70E+05
462,1.38E+10,2.58E+08,0.44741,1.33E+06
463,3.70E+10,5.99E+08,0.46784,0
464,3.24E+10,4.90E+08,0.43615,52695
465,2.38E+10,6.54E+08,0.4451,2.27E+05
466,1.41E+10,3.11E+08,0.47782,9.70E+05
467,3.19E+10,3.34E+08,0.47404,59998
468,2.21E+10,4.17E+08,0.48966,2.84E+05
469,1.21E+10,3.68E+08,0.49563,1.44E+06
470,3.62E+10,5.96E+08,0.49216,0
471,2.98E+10,4.90E+08,0.4574,1.09E+05
472,2.81E+10,4.13E+08,0.4463,1.53E+05
473,1.57E+10,3.62E+08,0.49071,9.58E+05
474,2.87E+10,2.73E+08,0.45,1.35E+05
475,2.75E+10,4.75E+08,0.50082,1.70E+05
476,1.26E+10,4.43E+08,0.49411,1.67E+06
477,1.82E+10,9.64E+07,0.78773,0
478,1.68E+10,1.30E+08,0.7746,50506
479,1.68E+10,1.02E+08,0.77138,51063
480,1.31E+10,7.13E+07,0.80821,3.21E+05
481,1.62E+10,1.22E+08,0.78003,76684
482,1.65E+10,8.47E+07,0.80032,66906
483,1.36E+10,9.03E+07,0.7931,2.82E+05
484,1.82E+10,5.10E+07,0.75841,0
485,1.68E+10,5.65E+06,0.78154,50370
486,1.67E+10,4.06E+07,0.71966,55544
