Design,Cost,Utility to Science,Failed Downtime,Servicing Margin
168,0.792474237,0.032881859,0.036549775,0.073689561
169,0.327594139,0.372692387,0.065967653,0.511045434
170,0.264861715,0.179925832,0.088747376,0.326901537
171,0.130280174,0.053090701,0.042279682,0.711736303
172,0.306786648,0.558325551,0.264858623,0.244637294
173,0.306185605,0.592644015,0.271150981,0.206639496
174,0.140532294,0.146962339,0.228303983,0.360447277
175,0.841085658,0.008893574,0.026447191,0.155520834
176,0.738550913,0.027732356,0.04046038,0.169488813
177,0.057574345,0.132413225,0.436105503,0.38465593
178,0.605177079,0.68705862,0.062609905,0.22654669
179,0.538159683,0.646603357,0.081713754,0.261993731
180,0.504984147,0.643590375,0.09361213,0.167116892
181,0.098849888,0.241926997,0.310496293,0.5557072
182,0.040866517,0.15056373,0.478157012,0.345048615
183,0.025127154,0.147813448,0.621925303,0.432423783
184,0.602735652,0.69663735,0.063202898,0.195184624
185,0.104499577,0.632963548,0.683690254,0.294560583
186,0.42239056,0.036471053,0.107413273,0.126596576
187,0.098280604,0.297351636,0.311930328,0.483984827
188,0.004527981,0.007908454,0.316678919,0.859990776
189,0.599261552,0.63365901,0.061491568,0.223779449
190,0.151780649,0.639698314,0.462518,0.279961974
191,0.097331737,0.58570218,0.699576731,0.307286127
192,0.786677921,0.026747375,0.026447191,0.091742515
193,0.416413538,0.003042164,0.105986943,0.122972808
194,0.688800347,0.01088619,0.039994192,0.114736971
195,0.127464305,0.265418602,0.230835412,0.565759627
196,0.257872231,0.282846458,0.081266089,0.59186017
197,0.053748091,0.304096601,0.493308669,0.500625924
198,0.190648709,0.184743793,0.110879658,0.334572631
199,0.196382856,0.199018158,0.107143094,0.286400045
200,0.019732019,0.13924566,0.651238838,0.368758412
201,0.898516705,1,0.026447191,0.128375517
202,0.350410982,0.361724114,0.05824565,0.392091714
203,0.304770235,0.418310837,0.082943556,0.395056615
204,0.077313987,0.187259494,0.426070728,0.329527592
205,0.667814447,0.658734256,0.06310585,0.164942632
206,0.301739582,0.345840436,0.081444127,0.342676694
207,0.374063667,0.211981678,0.044038035,0.366198244
208,0.234645712,0.231565983,0.108199491,0.181056634
209,0.070734429,0.194852537,0.440614563,0.35181612
210,0.345572782,0.202771106,0.048452216,0.391884642
211,0.707039336,0.036424265,0.038648791,0.097606431
212,0.050503735,0.126569465,0.424300561,0.386340747
213,0.146346576,0.625078638,0.503583046,0.255480361
214,0.532338355,0.637032906,0.080767981,0.234340145
215,0.120992031,0.618461569,0.577498322,0.228655064
216,0.489742847,0.641975132,0.096277621,0.188671254
217,0.09086373,0.58705895,0.747199785,0.284479919
218,0.408091923,0.030665147,0.110027929,0.106237587
219,0.403484706,0.005846594,0.112285145,0.084127895
220,0.069360692,0.234676864,0.414021471,0.543480512
221,0.047328079,0.135720322,0.422802955,0.445996442
222,0.194058882,0.203510018,0.109613191,0.32789925
223,0.06110394,0.018459199,0.091712437,0.80325292
224,0.241580837,0.25257534,0.12229616,0.28657888
225,0.323194723,0.37557181,0.071478687,0.460604463
226,0.368047625,0.233767617,0.047621172,0.27659234
227,0.188086863,0.65747913,0.49720584,0.225831349
228,0.066547862,0.1667046,0.46412406,0.348888868
229,0.635411207,0.609437473,0.064644862,0.224767749
230,0.57597877,0.616099331,0.07781442,0.28740717
231,0.333361893,0.284247238,0.054167373,0.527357096
232,0.243714238,0.14101008,0.088599988,0.329301695
233,0.345791792,0.180240821,0.047628849,0.421740726
234,0.215438633,0.624394341,0.312521547,0.297892567
235,0.438516684,0.014935495,0.096662327,0.071901208
236,0.176440067,0.001158288,0.324700957,0.103733893
237,0.145216452,0.216379238,0.202867425,0.556046045
238,0.100148651,0.156472462,0.267217626,0.417298081
239,0.539673091,0.662644372,0.077312645,0.28949672
240,0.218095127,0.608706282,0.307936343,0.260958369
241,0.527352979,0.590389681,0.080760551,0.26640814
242,0.212985514,0.628035336,0.323126715,0.250830643
243,0.64151877,0.027833074,0.051909362,0.052445808
244,0.147248838,0.311604788,0.200026456,0.551989308
245,0.589872732,0.626137403,0.063458327,0.216334253
246,0.541632459,0.643663183,0.073926746,0.259499449
247,0.19571677,0.614660505,0.33629936,0.303671771
248,0.510184859,0.631950033,0.083368171,0.188821852
249,0.785739508,0.019461649,0.026447191,0.094312096
250,0.420228565,0.006855172,0.099736622,0.073341302
251,0.441074945,3.73E-06,0.092319893,0.081661851
252,0.275610672,0.312087513,0.067658632,0.530576132
253,0.158050609,0.264428835,0.175627445,0.525022825
254,0.213288946,0.20189288,0.091558574,0.369567877
255,0.108412899,0.141456127,0.228058219,0.378547293
256,0.320733113,0.117603239,0.046243686,0.399998118
257,0.120397974,0.052421235,0.035000258,0.756689853
258,0.707243276,0.686076526,0.065792862,0.204672308
259,0.337400084,0.522417335,0.270490422,0.226471391
260,0.293084155,0.16573673,0.086811696,0.330064098
261,0.308285155,0.690015624,0.27821868,0.202149789
262,0.692367766,0.032838621,0.058051027,0.128497878
263,0.536937857,0.019676268,0.087265894,0.117579511
264,0.151383915,0.173303565,0.226357709,0.338958802
265,0.067252316,0.16504567,0.389286855,0.389578608
266,0.094987641,0.639100624,0.740697003,0.314025395
267,0.038244112,0.147578682,0.496126376,0.456001807
268,0.124782234,0.631360735,0.576968685,0.2594618
269,0.494688759,0.614195241,0.097402047,0.169488813
270,0.106830818,0.617952832,0.670980522,0.27153789
271,0.39804821,0.02745652,0.117405587,0.049772691
272,0.38887317,0.328026518,0.026447191,0.470233333
273,0.401758879,0.365683344,0.026447191,0.354272752
274,0.179132918,0.231284371,0.124941191,0.324360193
275,0.045105316,0.183176323,0.460573227,0.30497068
276,0.76460134,0.975422281,0.026447191,0.20085088
277,0.121335836,0.604491608,0.569431173,0.227789125
278,0.488028055,0.57619088,0.096388147,0.290983877
279,0.396428305,5.21E-06,0.113953461,0.087789313
280,0.692058773,0.005479709,0.039485056,0.074546088
281,0.103971854,0.277258594,0.283653156,0.485763768
282,0.255693376,0.263961245,0.082617928,0.481104637
283,0.073249241,0.229683003,0.393117167,0.604999859
284,0.074836045,0.007621932,0.073625227,0.773622733
285,0.016409888,0.018510748,0.220945403,0.833861996
286,0.068232598,0.026021529,0.082011295,0.747475128
287,0.026502277,0.013968716,0.183967969,0.776700583
288,0.471861442,0.341267162,0.026447191,0.269147144
289,0.173592327,0.01814252,0.026447191,0.747202169
290,0.445663385,0.323434432,0.026447191,0.35789652
291,0.851840547,0.97039244,0.026447191,0.192219723
292,0.433389103,0.377678676,0.026447191,0.360663761
293,0.225018471,0.228117228,0.120201766,0.289572019
294,0.176484701,0.65008169,0.528173674,0.184200371
295,0.157787992,0.021930012,0.026447191,0.728753894
296,0.356202165,0.192342762,0.045157833,0.307559086
297,0.047204793,0.133339989,0.442638531,0.399894581
298,0.069801994,0.030366424,0.083559866,0.777839481
299,0.567004742,0.710411328,0.073131217,0.250124714
300,0.414556879,0.043285707,0.111071668,0.078103969
